Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,67.69999694824219,67.69999694824219,65.69999694824219,66.5999984741211,30.03594970703125,32801
2002-07-02,66.5,66.5,64.19999694824219,64.8499984741211,29.246719360351562,53167
2002-07-03,65.0,68.5,64.1500015258789,67.25,30.329097747802734,105430
2002-07-04,68.69999694824219,71.80000305175781,68.0,68.3499984741211,30.82518768310547,145827
2002-07-05,69.0,69.25,67.0999984741211,67.9000015258789,30.622243881225586,48472
2002-07-08,68.80000305175781,70.5,68.0,68.3499984741211,30.82518768310547,89751
2002-07-09,69.0,69.0,67.0999984741211,67.5,30.441848754882812,37756
2002-07-10,69.0,69.0,66.0,66.19999694824219,29.855558395385742,29923
2002-07-11,66.5,66.5,63.5,63.900001525878906,28.818286895751953,41027
2002-07-12,64.75,65.3499984741211,63.150001525878906,63.75,28.750633239746094,40946
2002-07-15,62.900001525878906,63.29999923706055,61.0,61.5,27.735904693603516,35589
2002-07-16,62.0,63.0,60.150001525878906,60.45000076293945,27.262359619140625,42097
2002-07-17,58.5,61.20000076293945,58.5,59.349998474121094,26.766273498535156,32003
2002-07-18,48.0,61.75,48.0,61.0,27.510412216186523,28211
2002-07-19,60.0,60.45000076293945,59.0,59.150001525878906,26.67608070373535,22216
2002-07-22,56.099998474121094,57.5,55.29999923706055,55.95000076293945,25.23291015625,45314
2002-07-23,55.75,56.95000076293945,54.79999923706055,55.95000076293945,25.23291015625,62142
2002-07-24,55.5,55.54999923706055,52.20000076293945,52.400001525878906,23.63190269470215,39808
2002-07-25,54.45000076293945,60.0,51.900001525878906,52.5,23.676998138427734,67779
2002-07-26,52.0,52.45000076293945,49.150001525878906,50.04999923706055,22.57206916809082,53213
2002-07-29,49.150001525878906,51.0,44.5,46.0,20.745555877685547,61733
2002-07-30,48.0,49.0,44.099998474121094,44.79999923706055,20.204364776611328,67289
2002-07-31,44.150001525878906,44.95000076293945,41.54999923706055,43.5,19.618083953857422,82611
2002-08-01,43.5,46.0,43.25,43.849998474121094,19.775922775268555,44416
2002-08-02,42.20000076293945,44.0,42.20000076293945,43.5,19.618083953857422,21102
2002-08-05,44.0,46.849998474121094,44.0,46.25,20.858304977416992,42282
2002-08-06,45.5,46.900001525878906,44.20000076293945,46.5,20.971054077148438,26712
2002-08-07,47.5,52.849998474121094,47.20000076293945,51.400001525878906,23.18090057373047,153039
2002-08-08,52.0,53.70000076293945,46.599998474121094,47.70000076293945,21.512237548828125,223312
2002-08-09,48.400001525878906,49.650001525878906,47.0,49.04999923706055,22.121070861816406,115831
2002-08-12,49.099998474121094,50.400001525878906,47.75,48.599998474121094,21.91813087463379,77028
2002-08-13,49.95000076293945,49.95000076293945,47.0,47.29999923706055,21.33184242248535,51260
2002-08-14,47.0,47.400001525878906,46.150001525878906,46.599998474121094,21.016145706176758,37073
